epoch,avg_loss
0,4.993693479156494
1,2.427006410217285
2,1.909309616470337
3,1.660526797358195
4,1.4892048481623332
5,1.3788751132965087
6,1.2940559681574504
7,1.2326248630523682
8,1.1879045185724895
9,1.1383938386917114
10,1.0952962938308717
11,1.0662011049906412
12,1.0323294406255086
13,1.0118200211207071
14,0.9858405776023865
15,0.9692917693138122
16,0.9495476905186971
17,0.9319834698677063
18,0.914852326742808
19,0.9027621331850688
20,0.8876954347928365
21,0.8783680961608886
22,0.8676490908940633
23,0.8547256576220195
24,0.8464004315376282
25,0.8403579985618591
26,0.830046983909607
27,0.8246452111244201
28,0.8153195228258768
29,0.808876435661316
30,0.8028128594080607
31,0.7958765677769979
32,0.7905368693033854
33,0.7858122271855672
34,0.7810092622756958
35,0.7748881899515788
36,0.7692710408528646
37,0.7646853108406066
38,0.7612179550170899
39,0.757150123945872
40,0.751239621925354
41,0.7476375335693359
42,0.7455660621325175
43,0.7406308984120686
44,0.7382801207860311
45,0.733491380405426
46,0.7294610832532247
47,0.7270407347361246
48,0.7233817185401916
49,0.718819766553243
50,0.7159405311266581
51,0.7135839276313781
52,0.7116363881429036
53,0.7070771108309428
54,0.7036800317446391
55,0.7016888002713522
56,0.6983529859860738
57,0.696473476823171
58,0.6928899713198344
59,0.6900858243624369
60,0.6873790980339051
61,0.684633894443512
62,0.6820968758265178
63,0.6786825464566548
64,0.6761997623125712
65,0.6744904870033264
66,0.6706906617164612
67,0.6675724183082581
68,0.6669853812853496
69,0.662728695901235
70,0.660350634765625
71,0.6565907987912496
72,0.6555503278414408
73,0.6521943332672119
74,0.6502899994214376
75,0.6474181652069092
76,0.6445037222226461
77,0.6415127433458964
78,0.6400765270233154
79,0.6373834477742513
80,0.6371587083498637
81,0.6332682815869649
82,0.631593495909373
83,0.6297242846806844
84,nan
85,nan
86,nan
87,nan
88,nan
89,nan
90,nan
91,nan
92,nan
93,nan
94,nan
95,nan
96,nan
97,nan
98,nan
99,nan
