epoch,avg_loss
0,3.796932133706411
1,1.822952187983195
2,1.47176712697347
3,1.3043746876716613
4,1.1902312239964803
5,1.1182444781780243
6,1.0583588913440705
7,1.007290305519104
8,0.9731175123850505
9,0.9403037185033163
10,0.9147007113933563
11,0.8936165158748627
12,0.8722544577121735
13,0.8559134730815887
14,0.8401558276812235
15,0.828607994445165
16,0.8156246762752533
17,0.8045109454790751
18,0.7929641637802124
19,0.7831350081125895
20,0.772285255686442
21,0.7644689425309499
22,0.7569831997553508
23,0.7492786539236704
24,0.7414394363880158
25,0.7352523640314738
26,0.7264677124341329
27,0.7222285135269165
28,0.7136684698740642
29,0.7070108548641205
30,0.7014887246131897
31,0.6956636014779409
32,0.6903867164929708
33,0.6844388177235922
34,0.6779202038288117
35,0.672523311773936
36,0.6674512894789378
37,0.6616095193068187
38,0.657483822441101
39,0.6712476537227631
40,0.6501530614535014
41,0.6444952226956685
42,0.6414873396873474
43,0.6362595108826955
44,0.6324703657786052
45,0.6285752940654754
46,0.6250687012195587
47,0.6235427929719289
48,0.6200371314366658
49,0.6148232744375864
50,0.6120639350732168
51,0.6091645874182383
52,0.6074263489087423
53,0.6042241508801778
54,0.6013598636309306
55,0.599643331972758
56,0.5966764321804047
57,0.5948877167701722
58,0.5922036167621613
59,0.5900068211714427
60,0.590354364156723
61,0.5859077204386394
62,0.5842165841738383
63,0.5822939927577973
64,0.580369327990214
65,0.580465239127477
66,0.5774501869837443
67,0.575504576365153
68,0.5753044247945149
69,0.5727810313383738
70,0.5713769171237946
71,0.5699184745470682
72,0.5686822666962942
73,0.5671805277188618
74,0.5658896744251252
75,0.564305108165741
76,0.5631113074143728
77,0.5647373916784922
78,0.5600815526485443
79,0.55897897494634
80,0.5583662189483642
81,0.5574370270570119
82,0.5557105348269145
83,0.5544874846935273
84,0.6403577618201574
85,0.9575325843016307
86,0.5748206241925558
87,0.5625907167593638
88,0.557666146882375
89,0.5554183037678401
90,0.5525956007242203
91,0.5510915276368459
92,0.5495176015059153
93,0.5489903512875239
94,0.5467697372357051
95,0.5454932556072871
96,0.5444161605278651
97,0.6227114025831223
98,0.5451510591665903
99,0.543814428838094
